seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
67,4,light_ebrem,232,2,2,0.0033181694730315234,0.00669407844543457,0.003346000472070343,-0.6669616864860312,-0.2284377697559539
67,5,light_ebrem,232,2,2,0.0022296750581735692,0.0055081844329833984,0.0027439608771812063,-0.08364709294184844,0.14883860933014914
67,6,no_ebrem,232,0,0,0.0,0.0,0.0,-0.20929655670572583,0.3267363387274067
67,7,light_ebrem,233,1,1,0.01200920188613904,0.02405107021331787,0.012009201886139076,-0.01342331255267202,1.0615762560387834
67,8,no_ebrem,231,0,0,0.0,0.0,0.0,0.03273272806032583,0.2744233382390491
67,9,no_ebrem,232,0,0,0.0,0.0,0.0,0.06555901453696357,0.19734219139222534
68,0,no_ebrem,233,0,0,0.0,0.0,0.0,0.028133989202258285,0.48875091956547234
68,1,light_ebrem,232,3,3,0.04077135426739085,0.1026688814163208,0.05119766936535308,-1.2177992422924804,-0.834226830331715
68,2,no_ebrem,232,0,0,0.0,0.0,0.0,0.060372929321997684,0.6571602195479741
68,3,hard_ebrem,232,1,2,0.12803074140446957,0.25679469108581543,0.12803074140446957,0.0513133468673183,0.30620253157841676
68,4,no_ebrem,232,0,0,0.0,0.0,0.0,-0.060519518018100085,-0.09587232852801256
68,5,light_ebrem,232,2,2,0.008349762263713326,0.016756653785705566,0.008351010303523698,-0.855329776288361,-0.31504206110994654
68,6,light_ebrem,232,1,1,0.0060277431595891695,0.012095451354980469,0.006027743159589205,-0.4495362505264907,-0.23555745807817177
68,7,no_ebrem,232,0,0,0.0,0.0,0.0,-2.0561311464290997,-1.7328462209632263
68,8,no_ebrem,232,0,0,0.0,0.0,0.0,-0.031901245433208186,0.22576270199154158
68,9,light_ebrem,232,1,1,9.288565929753973e-05,0.00018644332885742188,9.2885659297548e-05,0.13230614104839425,0.31271688485213833
69,0,light_ebrem,232,1,1,0.000410198640949636,0.0008230209350585938,0.00041019864094959946,-0.05121505101890939,0.21702315610840545
69,1,no_ebrem,231,0,0,0.0,0.0,0.0,0.011751400266018617,0.3148143419665182
69,2,light_ebrem,232,1,1,0.00011123943789856342,0.0002231597900390625,0.00011123943789859148,0.02923608879900748,0.1426462522410205
69,3,no_ebrem,232,0,0,0.0,0.0,0.0,-0.045949999198031305,0.49000051935543476
69,4,no_ebrem,233,0,0,0.0,0.0,0.0,0.10962015939637353,0.1120529769923395
69,5,light_ebrem,232,1,1,0.00019828448869986322,0.0003979206085205078,0.00019828448869985138,0.23217449639961985,0.5490751491920661
69,6,hard_ebrem,232,2,2,0.2922582738226366,0.5865790843963623,0.29287102490119465,0.7009190893546714,0.43742681497835123
69,7,light_ebrem,232,1,1,0.00010772032904700644,0.0002162456512451172,0.0001077203290470452,-0.008193106413309744,0.4725831010960702
69,8,no_ebrem,232,0,0,0.0,0.0,0.0,0.029767200921199062,0.07008340899354518
69,9,light_ebrem,231,2,2,0.0023037096879024704,0.0053784847259521484,0.002680612304766572,-0.274185792594772,0.3559148348754431
70,0,hard_ebrem,232,1,1,0.13686500464217682,0.27456367015838623,0.13686500464217688,0.16632035885757623,0.45136358008879496
70,1,light_ebrem,233,1,1,0.0007327779347506557,0.0014691352844238281,0.0007327779347506835,0.03835645562673973,0.29384371704821405
70,2,no_ebrem,231,0,0,0.0,0.0,0.0,-0.19381064735296694,0.1297555191972774
70,3,hard_ebrem,72,11,12,0.9772597952026927,1.9713839222677052,0.9849435234107913,-8.895882759059228,-8.86061348809852
70,4,hard_ebrem,339,9,43,0.791389365120364,0.3442794852890074,0.9665171201175143,-79.38771376211666,-79.44180590527026
70,5,no_ebrem,231,0,0,0.0,0.0,0.0,-7.449043774357561,-7.304779077981792
70,6,light_ebrem,233,2,2,0.0002672047180040164,0.0007939338684082031,0.0003956338500554768,-0.07707991569294798,0.12810709481490493
70,7,light_ebrem,232,2,2,0.014422523669982987,0.02907538414001465,0.014482739777261,-1.3989067960306591,-1.1979299915478865
70,8,no_ebrem,232,0,0,0.0,0.0,0.0,-0.003061497537991045,0.22386297300364974
70,9,light_ebrem,233,2,2,0.0129268014951487,0.03679990768432617,0.018338329942455323,-1.7766757528386916,-1.4321800833430478
71,0,light_ebrem,232,3,3,0.01317131843970288,0.030083537101745605,0.015001034026029592,-0.8354044533207164,0.2427358259730019
71,1,hard_ebrem,233,1,1,0.15445524037521266,0.3099241256713867,0.15445524037521263,-15.028216648562164,2.527261331220873
71,2,no_ebrem,233,0,0,0.0,0.0,0.0,0.14685950240465978,0.5048019002301067
71,3,light_ebrem,232,1,1,0.00013222341762338395,0.0002651214599609375,0.0001322234176234227,-0.22705237293531433,-0.07995594890043461
71,4,no_ebrem,233,0,0,0.0,0.0,0.0,0.20418476632902263,0.7816700271932763
71,5,hard_ebrem,232,1,1,0.14749247226831685,0.29574549198150635,0.14749247226831685,-0.13258174014539473,0.0006669512599021486
71,6,no_ebrem,233,0,0,0.0,0.0,0.0,0.2839465187274659,0.992046584175785
71,7,light_ebrem,233,2,2,0.05672939705384716,0.11841940879821777,0.05901678032641855,-5.7240811825273745,-0.24377122053443967
71,8,light_ebrem,232,1,1,0.0008804262285453325,0.0017654895782470703,0.000880426228545339,-0.08835689545304619,-0.0021283841774051423
71,9,light_ebrem,233,2,2,0.003231067263909442,0.007115721702575684,0.003544252881991228,-0.3179761484186821,-0.22270361773526245
72,0,light_ebrem,232,1,1,0.03262517948850857,0.06542766094207764,0.03262517948850863,0.03506567695989874,0.08022264949715477
72,1,light_ebrem,231,1,1,0.0016360014892828894,0.003283262252807617,0.00163600148928289,-0.20418554505381784,0.017901693252560816
72,2,no_ebrem,233,0,0,0.0,0.0,0.0,0.004144231549693863,1.2894268897169823
72,3,no_ebrem,232,0,0,0.0,0.0,0.0,0.03825280575236378,0.28230710040515233
72,4,light_ebrem,232,1,1,0.00026912623958250245,0.0005397796630859375,0.0002691262395825289,-0.1501121604588603,0.4920596376680545
72,5,light_ebrem,232,1,1,0.08753380769545438,0.1755000352859497,0.08753380769545438,-0.11708391666783109,0.0003054785470725192
72,6,no_ebrem,230,0,0,0.0,0.0,0.0,0.03339342669002931,0.7174296770534053
72,7,no_ebrem,232,0,0,0.0,0.0,0.0,-0.03917939396786051,-0.09505826734339172
72,8,no_ebrem,232,0,0,0.0,0.0,0.0,-0.04139687617675304,0.30229603828154694
72,9,light_ebrem,233,1,1,0.0026443924986172453,0.005309581756591797,0.002644392498617254,-0.28187924951829246,0.04233962703007755
73,0,no_ebrem,232,0,0,0.0,0.0,0.0,-0.07971036151869815,-0.027495643365580115
