entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
27,3,27,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.08894054577261079,0.08894054577261079,0.17850303649902344
28,3,28,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0006573744128591796,0.0006573744128591796,0.0013194084167480469
29,3,29,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0026683428221079275,0.0026683428221079275,0.005354166030883789
30,3,30,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,6.111646705919682e-05,6.111646705919682e-05,0.00012254714965820312
31,3,31,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0016667501862566159,0.0016667501862566159,0.0033464431762695312
35,3,35,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.023391429149963505,0.023391429149963505,0.046959519386291504
38,3,38,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.036702438607080556,0.036702438607080556,0.07364702224731445
39,3,39,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,4.51689920577536e-06,4.51689920577536e-06,9.059906005859375e-06
42,3,42,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.000855018888263559,0.000855018888263559,0.0017125606536865234
43,3,43,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,2.9367929626378242e-05,2.9367929626378242e-05,5.888938903808594e-05
44,3,44,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.004972841157918295,0.004972841157918295,0.00997471809387207
45,3,45,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.000854699940925352,0.000854699940925352,0.0017154216766357422
48,3,48,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,4,0.03668008395832745,0.029422613497148142,0.07362627983093262
49,3,49,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.0006429675881789443,0.0006403521972746518,0.0012896060943603516
50,3,50,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0035308731493643997,0.0035308731493643997,0.0070819854736328125
53,3,53,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.010225368396099999,0.00915858546857673,0.020500779151916504
54,3,54,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.005959014742622948,0.005959014742622948,0.011950016021728516
55,3,55,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.05490536692396786,0.05459252843173246,0.11014997959136963
